
база катып жатат | перезагрузите компьютер и проверьте интернет
Что отображается в таблице Реестра платежей юридических лиц? | В таблице указываются номер счета, организация, сотрудник, сумма к оплате, статус счета и доступные действия.
Что выводит система, если за выбранный период счета отсутствуют? | Если за указанный период счета не найдены, система отображает сообщение о том, что счета за выбранный период не найдены.
Что такое система еСОМу? | Единая система оплаты медицинских услуг (еСОМу) — это модуль ИС Sanarip Clinic, предназначенный для формирования счетов за медуслуги, их учета и контроля оплаты.
Для кого предназначена система еСОМу? | Система и руководство предназначены для врачей организаций здравоохранения, формирующих счета за оказанные медицинские услуги и контролирующих их оплату.
Какое оборудование и ПО необходимы для работы с Sanarip Clinic? | Для работы требуется ПК или ноутбук с подключением к интернету и современный веб-браузер, такой как Google Chrome или Mozilla Firefox.
На каком сайте располагается система Sanarip Clinic? | Вход в систему осуществляется через веб-браузер по адресу https://mis.med.kg/.
Как войти в личный кабинет врача в Sanarip Clinic? | Перейдите на mis.med.kg, нажмите «Личный кабинет», введите логин и пароль, предоставленные регистратурой или руководителем, и нажмите «Войти».
Где получить логин и пароль для входа в систему? | Логин и пароль предоставляются регистратурой либо руководителем вашей медицинской организации.
Как открыть форму создания счета на оплату? | На странице формы ввода сведений о состоянии пациента (дневнике) нажмите кнопку «Счет на оплату».
Как добавить медицинские услуги в счет? | В окне создания счета выберите услугу из списка. Для добавления дополнительных услуг нажмите кнопку «+ Добавить услугу».
Что делать, если у пациента некорректно отображается статус ОМС? | В окне формирования счета нажмите кнопку «Обновить статус ОМС».
Что делать, если льготная категория пациента не совпадает или отсутствует? | Нажмите кнопку «Изменить категорию», после чего откроется дополнительная вкладка для редактирования данных пациента.
Зачем нужна кнопка «Применить категорию» при создании счета? | Кнопка подтверждает данные пациента и запускает расчет скидок. Без ее нажатия система не позволит сгенерировать счет на оплату.
Как система Sanarip Clinic рассчитывает льготу по оплате услуг? | Льгота рассчитывается автоматически при применении категории гражданина с учетом его статуса ОМС и выбранных услуг по Программе госгарантий.
Можно ли отменить автоматически начисленную льготу на услугу? | Да, врач может выбрать действие «Отменить льготу» для конкретной услуги. Стоимость пересчитается без льготы, что не повлияет на остальные услуги в счете.
Как сформировать счет при экстренной или неотложной помощи? | Выберите соответствующий чек-бокс («Экстренно» или «Неотложно») в верхней части окна формирования счета до его генерации.
Как сгенерировать и скачать готовый счет на оплату? | После выбора всех услуг и применения категории нажмите кнопку «Сгенерировать». Система создаст счет в формате PDF, доступный для скачивания.
Какие данные для оплаты содержатся в сформированном счете? | Счет содержит данные пациента, список услуг, код платежа для терминалов и QR-код для оплаты через банковские приложения и мобкошельки.
Где посмотреть список всех ранее созданных счетов? | Все сформированные счета отображаются в подразделе «Реестр счетов» в меню модуля еСОМу.
Как обновить статус оплаты счета в Sanarip Clinic? | Статус обновляется автоматически при поступлении денег. Также можно обновить его вручную, нажав на сам статус или на иконку круговой стрелки в реестре счетов.
Каковы функции кнопки просмотра счета в реестре? | Она открывает окно со сведениями о пациенте, услугах, суммах, коде платежа, QR-коде и возможностью повторно скачать PDF-файл счета.
Как отменить ранее сформированный счет на оплату? | В реестре счетов напротив нужной записи нажмите кнопку отмены счета (иконка с крестиком).
В каких случаях можно отменить счет на оплату? | Отмена счета возможна только в том случае, если счет еще не был оплачен пациентом.
Что происходит со счетом после его отмены врачом? | Отмененный счет аннулируется, не подлежит оплате и не должен использоваться пациентом для проведения платежа.
Что такое МИС «Санарип Клиник»? | МИС «Санарип Клиник» — это единая цифровая платформа, охватывающая 100% организаций здравоохранения первичной медико-санитарной помощи Кыргызской Республики, а также стационарные службы.
Какое главное техническое условие требуется для работы МИС «Санарип Клиник»? | Для стабильной работы системы требуется качественное подключение к сети Интернет и компьютер, соответствующий техническим требованиям. При слабом соединении возможны ошибки при сохранении.
Что такое роль в системе «Санарип Клиник»? | Роль — это набор прав доступа и функциональных возможностей, определяющих интерфейс и полномочия конкретного сотрудника (врач, медсестра, регистратор, руководитель ОЗ).
Где в интерфейсе отображаются ФИО пользователя и его код НИСУР? | ФИО пользователя, код НИСУР и наименование организации отображаются в правом верхнем углу каждой страницы системы.
Как переключиться между аккаунтами в МИС «Санарип Клиник»? | Нажмите на блок с именем в правом верхнем углу и выберите «Переключение аккаунта». Активный аккаунт будет выделен зелёным фоном.
Что отображается на главной странице врача в МИС «Санарип Клиник»? | На главной странице расположены виджеты с количеством ожидающих пациентов, расписанием на неделю, больничными на продлении, а также календарь, время, погода и название организации.
Кто вносит заключение в разделе «Инстр. исследования»? | Заключение по инструментальному исследованию (УЗИ, рентген, КТ, ЭКГ) вносит врач-диагност. Семейный врач использует раздел только для оформления направления.
Как найти направление на инструментальное исследование? | Откройте раздел «Инстр. исследования» и используйте фильтры в верхней части страницы: ПИН, Фамилия, Имя и Категория обследования.
Как врач-диагност вносит результат инструментального исследования? | Найдите направление в разделе «Инстр. исследования», нажмите «Заключение» в столбце «Действия», заполните дату, время, текст заключения и результат, затем нажмите «Сохранить».
Что происходит с записью инструментального исследования после сохранения заключения? | Запись автоматически перемещается на вкладку «С заключением» и закрывается для редактирования.
Какие подразделы входят в раздел «Приём»? | Раздел включает: Заявки по вызову на дом v2, Специалисты, Регистрация, Регистратура V2, В ожидании, Принятые и Непринятые.
Как обработать входящую заявку на вызов врача на дом? | Откройте «Приём» → «Заявки по вызову на дом v2», перейдите на вкладку «На рассмотрении» (выделены красным), проверьте данные и нажмите «Принять» или «Отклонить» с указанием причины.
Из каких шагов состоит процесс записи пациента на приём через «Регистрацию»? | Процесс состоит из трёх шагов: 1) Поиск пациента и тип обращения, 2) Выбор специалиста, 3) Выбор даты, времени и формата приёма.
Как записать на приём новорождённого ребёнка без ПИН? | На шаге 1 регистрации нажмите кнопку «Новорождённый», введите ПИН матери, выберите номер медицинского свидетельства о рождении и нажмите «Поиск».
Как найти пациента по номеру полиса ОМС при регистрации? | На шаге 1 нажмите «Поиск по ОМС», введите номер полиса ОМС и номер документа или ПИН пациента, после чего нажмите «Поиск».
Какое предупреждение система показывает при выборе времени приёма врача? | Система предупреждает, что перед посещением врача пациенту необходимо пройти осмотр у медицинской сестры.
Какие виды приёма доступны при регистрации, помимо записи по времени? | Доступны: Выездная консультация, Консультация по телефону, Онлайн консультация, Приём пациента вне очереди и Экстренный приём.
Откуда берутся данные адреса и кабинета для талона на приём? | Адрес, этаж и номер кабинета автоматически подтягиваются из профиля врача в системе.
Откуда пациенты попадают в очередь в разделе «В ожидании»? | Пациенты попадают в очередь через регистратора вручную, через онлайн-запись самими пациентами или по направлению от другого специалиста.
Что означают цветные метки рядом с именем пациента в очереди? | Зелёная метка (МСГР) указывает на группу медико-социального риска, фиолетовая (ЖРВ) — на женщину репродуктивного возраста, оранжевая — на сахарный диабет.
Что делать, если пациент не явился на приём из очереди? | В разделе «Вожидании» нажмите «Действия ▼» напротив пациента, выберите «Отклонить» и укажите причину «Неявка пациента».
Как принять пациента без предварительной записи в экстренном случае? | В разделе «В ожидании» нажмите «Принять пациента вне очереди ▼», найдите гражданина по ПИН, выберите его в списке и нажмите «Далее».
Где просмотреть историю уже принятых врачом пациентов? | История принятых пациентов находится в разделе «Приём» → «Принятые». Меню «Действия ▼» → «Подробнее» открывает детали обращения.
В чём разница между «Обращением» и «Посещением» в амбулаторной карте? | Обращение создаётся по поводу одного заболевания или состояния и объединяет все визиты. Посещение (визит) — это отдельный приём врача в рамках одного обращения.
Нужно ли закрывать обращение по беременности при каждом визите? | Нет, обращение по беременности должно оставаться открытым на протяжении всего периода беременности, а каждый визит добавляется как посещение.
Какая информация появляется в таблице обращений только после установки диагноза? | Код МКБ-10, текстовая формулировка диагноза, ФИО и должность специалиста появляются в таблице обращений только после сохранения диагноза.
Как добавить повторный визит к существующему открытому обращению? | В амбулаторной карте в таблице обращений найдите открытое обращение, нажмите «Действия ▼» → «Добавить консультацию» и заполните форму визита.
Какие исходы при закрытии обращения считаются необратимыми? | Исходы «Перинатальная смерть» и «Смерть» необратимы. Их разрешено выбирать только при наличии официального документального подтверждения.
Что происходит при нажатии «Подробнее» в меню действий обращения? | Открывается окно «История посещений (визитов) пациента» со списком всех визитов, датами, ФИО врачей и кнопками «Просмотр».
Куда передаётся «Экстренное извещение», оформленное в дневнике приёма? | Экстренное извещение передаётся через автоматическую интеграцию в систему эпидемиологического надзора «iEpid».
Куда направляет кнопка «Направить на госпитализацию» в дневнике приёма? | Кнопка оформляет госпитализацию исключительно в стационарное отделение своей собственной организации здравоохранения.
Для чего предназначена выпадающая кнопка «Направление ▼» в дневнике? | Позволяет сформировать направление «На консультацию к специалисту ОЗ» (внутри своей организации) или «На консультацию в другую ОЗ» (в стороннюю организацию).
Для каких пациенток доступен блок «Течение беременности» в дневнике? | Блок доступен только для пациенток женского пола при выборе типа обращения «Наблюдение за беременной».
Является ли раздел «Анамнез жизни» сквозным в карте пациента? | Да, данные анамнеза жизни сквозные — они видны всей медицинской организации во всей истории пациента и требуют своевременной актуализации.
Что происходит со старыми записями в блоке «Анамнез жизни» при их изменении? | Старые записи не удаляются, а помечаются как неактуальные (снимается галочка «Актуальный»), чтобы сохранить историю изменений.
Какие медицинские калькуляторы есть в МИС «Санарип Клиник»? | В системе доступны: Тест Фагерстрома, FindRisk, Тест ACTMA, Тест ХОБЛ, Номограмма, Тест APRI, Тест FIB-4 и Child-Pugh.
Перезаписываются ли результаты диагностических калькуляторов при повторном расчёте? | Нет, каждый новый расчёт сохраняется отдельной строкой в таблице, формируя динамическую историю показателей пациента.
Что означают цветовые статусы лабораторных анализов ЛИС «iLab»? | Серый — отправлен, но не зарегистрирован в ЛИС; оранжевый — анализ выполняется; зелёный — выполнен и верифицирован заведующим лабораторией.
Почему результаты анализов могут не подгрузиться в карту пациента автоматически? | Если лаборатория вносит результаты в обход электронного направления из МИС «Санарип Клиник», они не подгрузятся в карту автоматически.
Как изменить уже установленный окончательный диагноз в обращении? | Нажмите кнопку «Дополнить окончательный диагноз» — это позволит добавить или уточнить данные без создания новой записи с нуля.
Зачем нужно поле «Выявлен случай насилия» при постановке диагноза? | Поле фиксирует факт насилия для статистики и требует от врача действий в соответствии с утверждёнными локальными протоколами защиты.
Сохраняется ли история изменений диагнозов по обращению? | Да, история диагнозов фиксируется в специальном журнале изменений с указанием ФИО врача, кода МКБ-10 и даты внесения изменений.
Для чего применяется блок «Цели лечения» в амбулаторной карте? | Блок применяется для контроля динамики целевых показателей (например, гликогемоглобина) у пациентов с хроническими заболеваниями.
Как граждане подают заявки на прикрепление к организации здравоохранения? | Граждане подают заявку дистанционно через мобильное приложение «Түндүк», после чего она поступает в МИС со статусом «На рассмотрении».
Сколько дней даётся на обработку заявки на прикрепление пациента? | Заявка должна быть обработана в течение 3 календарных дней, после чего автоматически переходит в статус «Просроченные».
Что означает сообщение «Превышен лимит прикреплённых граждан» при отклонении заявки? | Сообщение означает, что нормативная ёмкость выбранного врачебного участка исчерпана.
Почему численность населения в реестре и в отчётной форме №7 различается? | В форму №7 включаются только граждане с заполненным социальным статусом. Пациенты без социального статуса в форму №7 не попадают.
Для кого предназначена кнопка «Обновить ОМС по ПИН» в профиле пациента? | Кнопка применяется только для работающих граждан и лиц, самостоятельно купивших полис ОМС.
Как загрузить официальный адрес прописки в профиль пациента? | Нажмите «Загрузить адрес из ГРС (прописка)». Система автоматически запросит и подтянет данные из государственного регистра населения.
Что делать с устаревшими документами в профиле пациента? | Не удаляйте документ, а переведите его переключатель в серый (неактивный) статус. Удаление документов из системы не предусмотрено.
Почему важно указывать дату начала при добавлении социального статуса или льготы? | Дата начала активирует статус. Если заполнить поле «Дата окончания», статус будет считаться завершённым и не попадет в отчёты.
Как вручную добавить и приписать пациента к участку? | В разделе «Добавить пациента» найдите гражданина по ПИН или ОМС, выберите ГСВ/ФАП, наименование участка и нажмите «Приписать».
Кто может редактировать структуру участков в разделе «Список участков ОЗ»? | Управление структурой участков выполняет исключительно руководитель организации здравоохранения.
Каково главное правило привязки листа нетрудоспособности к обращению? | В системе действует правило: 1 Обращение = 1 ЛВН. Больничный лист открывается строго внутри соответствующего обращения.
Как оформить больничный лист беременной женщине при заболевании ОРВИ? | Откройте отдельное новое обращение с типом «Приём врача по поводу заболевания», выставите диагноз ОРВИ и оформите ЛВН внутри него.
Откуда подтягивается код МКБ-10 при открытии больничного листа? | Код МКБ-10 и причина нетрудоспособности подтягиваются в форму ЛВН автоматически из диагноза текущего обращения.
Как оформить больничный лист по уходу за больным членом семьи? | При оформлении ЛВН заполните специальный блок «Для опекуна», указав личные данные, ПИН и место работы опекуна.
Кто имеет право редактировать ошибки в уже выписанном больничном листе? | Кнопка редактирования выписанного ЛВН доступна только пользователям с ролью «Руководитель».
Как открытый больничный лист передаётся по месту работы пациента? | При сохранении ЛВН автоматически передаётся в систему «Е-Кызмат», а после закрытия отправляется в мобильное приложение «Түндүк» пациента.
Требуется ли обязательная бумажная распечатка электронного больничного листа? | Нет, электронный больничный лист с QR-кодом в приложении «Түндүк» имеет полную юридическую силу.
Как оформить водительскую справку формы 083/у? | Откройте обращение с типом «Приём по поводу профилактических осмотров», выберите «Справка 083/у», укажите категорию автотранспорта и направьте к специалистам.
Кто выдаёт разрешение на подпись медицинской справки 086/у? | Разрешение на подпись выдаёт руководитель ОЗ в параметрах профиля специалиста при наличии активной ОЭП организации.
В чём особенности справки 086/у при выезде на Хадж? | Дополнительно проверяется прививочный статус из ИС «Иммунизация» (COVID-19, менингококк) и заполняется перечень противопоказаний к паломничеству.
Как продлить справку 095/у на срок более 10 дней? | Продление свыше 10 дней оформляется через ВКК: выберите членов комиссии в форме справки и отправьте заявку председателю ВКК.
Как продлить справку 095/у на срок свыше 30 дней? | Установите флажок «Разрешение РВКК», выберите членов районной комиссии, укажите дату и номер протокола РВКК.
Можно ли открыть новое обращение МСЭК (форма 088/у), если предыдущее не закрыто? | Нет, открыть новое обращение МСЭК нельзя до тех пор, пока текущее незавершённое обращение МСЭК не будет закрыто.
Нужно ли прикреплять скан паспорта к документам направления на МСЭК? | Нет, прикреплять сканы паспорта и свидетельства о рождении в блок прилагаемых документов для МСЭК не требуется.
Что означает розовый цвет строки в реестре обращений МСЭК? | Розовый цвет означает, что комиссия МСЭК отклонила направление (причину можно просмотреть через «Действия» → «Подробнее»).
Как повторно направить пациента на МСЭК после устранения причин отказа? | Отредактируйте обращение, добавьте недостающие документы, повторно отправьте на РВКК, подпишите и отправьте в МСЭК.
Как проводится экспертная оценка амбулаторных карт в модуле контроля качества? | Эксперт открывает карту в «Аудит МКАБ» и заполняет анкету из 10 критериев. Система автоматически вычисляет балл и процент дефектов.
Какие диагнозы подтягивают пациента в Регистр сахарного диабета? | В регистр попадают окончательные диагнозы по кодам E11–E14 (сахарный диабет), O24 (гестационный диабет) и R73 (повышенная глюкоза).
Включаются ли предварительные диагнозы в Регистр сахарного диабета? | Нет, в регистр сахарного диабета включаются только окончательно установленные диагнозы.
Как пациент попадает в Журнал риска развития сахарного диабета? | Пациент попадает туда автоматически после прохождения калькулятора FINDRISK с результатом высокого или умеренного риска.
Как записать пациента на консультацию в другую медицинскую организацию? | В обращении нажмите «Направление» → «На консультацию в другую ОЗ», выберите регион, медорганизацию, врача, дату и свободный временной слот.
Где отследить статус отправленного электронного направления? | Выписанные направления отображаются у направившего врача на вкладке «Отправленные», а у принимающего врача — на вкладке «Полученные».
Кто фиксирует назначение средств контрацепции для реестра ЖРВ? | Назначение средств контрацепции в разделе «Рекомендации» фиксирует врач-гинеколог во время амбулаторного приёма.
На основе каких данных формируется статистическая Форма 6 по заболеваемости с ВУТ? | Форма 6 формируется исключительно на основе закрытых листков временной нетрудоспособности (ЛВН).
Какая справка формируется по результатам освидетельствования ВВК? | По результатам медосмотра военно-врачебной комиссии лиц допризывного возраста формируется справка формы 083/у.
Что обязательно сделать перед осмотром по Стамбульскому протоколу? | Необходимо проинформировать пациента о целях и рисках осмотра и получить его письменное информированное согласие (форма №003-3/У).
Как отправить обменную карту родильницы и новорождённого в ГСВ по месту приписки? | В заполненной карте выберите область, район и приписную организацию здравоохранения матери, после чего нажмите «Отправить».
Что такое подсистема Электронная медицинская книжка в Sanarip Clinic? | Электронная медицинская книжка — это официальная цифровая учетная запись в информационной системе здравоохранения, фиксирующая результаты медосмотров, анализов, санминимума и допуск к работе.
С какой даты модуль Электронная медицинская книжка введен в опытную эксплуатацию? | Модуль введен в опытную эксплуатацию с 28 мая 2026 года в пилотных центрах семейной медицины города Бишкек.
Кто является заказчиком и исполнителем подсистемы Электронная медицинская книжка? | Заказчиком выступает Министерство здравоохранения Кыргызской Республики, а исполнителем — ОАО Түндүк.
Какие учреждения определены пилотными объектами для опытной эксплуатации модуля? | Пилотными объектами определены центры семейной медицины города Бишкек, проводящие медицинские осмотры работников декретированного контингента.
Зачем внедряется цифровая медицинская книжка вместо бумажной? | Цифровизация снижает бумажный документооборот, предотвращает подделку книжек, автоматизирует назначение обследований и упрощает проверку допуска к работе.
Какие данные входят в состав электронной медицинской книжки? | Состав включает ФИО, ПИН, категорию контингента, пройденных врачей, результаты анализов и обследований, отметку о санминимуме, итоговое решение, дату выдачи и срок действия.
Какие роли пользователей предусмотрены в модуле Санкнижка? | В системе предусмотрены роли: ответственный врач ОЗ, врач узкий специалист, специалист лаборатории, гражданин, сотрудник санэпидслужбы и системный администратор.
Какие функции выполняет ответственный врач при оформлении медицинской книжки? | Ответственный врач создает обращение, выбирает контингент, формирует направления на исследования, проверяет сводную картину и подписывает итоговое решение ОЭП.
Что входит в полномочия узкого специалиста при проведении профосмотра? | Врач-специалист открывает медицинскую книжку пациента, вносит свое заключение, указывая результат допуск, недопуск или необходимость допобследования.
Что может делать гражданин в мобильном приложении Түндүк в рамках ЭМК? | Гражданин может просматривать статус книжки, проходить санитарный минимум, привязывать работодателя, получать уведомления и предъявлять цифровую книжку.
С чего начинается процесс оформления электронной медицинской книжки в Sanarip Clinic? | Процесс начинается с обращения гражданина в организацию здравоохранения, где врач создает обращение с типом Приём по поводу профилактических осмотров и выбирает Санкнижка.
Как система определяет список обязательных врачей и анализов для пациента? | Перечень обязательных специалистов, лабораторных и инструментальных исследований определяется системой автоматически на основе выбранной категории декретированного контингента.
Как зарегистрировать пациента на приём к узким специалистам для профосмотра? | В разделе справки ответственный врач нажимает Записать к врачу и выбирает нужного специалиста с типом Запись по времени или Другие виды записи.
Как подтягиваются результаты лабораторных исследований в медицинскую книжку? | Результаты из лабораторной системы iLab автоматически подтягиваются в Sanarip Clinic и привязываются к книжке после оформления направлений ответственным врачом.
Что делать, если лабораторные анализы сдавались в лаборатории без системы iLab? | Результаты таких анализов медицинский работник вносит вручную через раздел Лабораторные анализы вручную.
Как зафиксировать в системе прохождение флюорографии? | При отсутствии флюорографии врач формирует направление через Инструментальные обследования, а при наличии готового результата вносит данные вручную.
Что означают статусы электронной медицинской книжки В процессе и В ожидании подписания? | Статус В процессе присваивается при создании книжки, а В ожидании подписания — после прохождения всех врачей и получения результатов всех обязательных исследований.
Что означает статус медицинской книжки Подписан ОЗ? | Этот статус означает, что ответственный врач ОЗ завершил медицинскую часть профосмотра и подписал положительное решение с помощью электронной подписи.
Является ли статус Подписан ОЗ финальным допуском к работе? | Нет, статус Подписан ОЗ означает только прохождение медосмотра. Финальный статус Допущен присваивается только после прохождения санминимума и указания работодателя.
При каких условиях медицинской книжке присваивается финальный статус Допущен? | Статус Допущен присваивается автоматически при наличии подписанного решения врача, прохождения санминимума в Түндүк и указания данных работодателя.
Когда электронной медицинской книжке присваивается статус Не допущен? | Статус Не допущен присваивается, если ответственный врач по медицинским показаниям выносит решение о невозможности допуска гражданина к работе.
